Timestamp,State
24-12-27_16-19-55-400328,ON
24-12-27_16-19-55-518391,OFF
24-12-27_16-19-55-637703,ON
24-12-27_16-19-55-755402,OFF
24-12-27_16-19-55-873944,ON
24-12-27_16-19-56-018244,OFF
24-12-27_16-19-56-135750,ON
24-12-27_16-19-56-254050,OFF
24-12-27_16-19-56-371675,ON
24-12-27_16-19-56-491216,OFF
24-12-27_16-19-56-610251,ON
24-12-27_16-19-56-731946,OFF
24-12-27_16-19-56-850395,ON
24-12-27_16-19-56-968645,OFF
24-12-27_16-19-57-086786,ON
24-12-27_16-19-57-204484,OFF
24-12-27_16-19-57-320827,ON
24-12-27_16-19-57-439782,OFF
24-12-27_16-19-57-560265,ON
24-12-27_16-19-57-677199,OFF
24-12-27_16-19-57-794801,ON
24-12-27_16-19-57-913834,OFF
24-12-27_16-19-58-031974,ON
24-12-27_16-19-58-152650,OFF
24-12-27_16-19-58-295677,ON
24-12-27_16-19-58-413167,OFF
24-12-27_16-19-58-532728,ON
24-12-27_16-19-58-650730,OFF
24-12-27_16-19-58-771460,ON
24-12-27_16-19-58-894332,OFF
24-12-27_16-19-59-013125,ON
24-12-27_16-19-59-133736,OFF
24-12-27_16-19-59-252173,ON
24-12-27_16-19-59-370088,OFF
24-12-27_16-19-59-488164,ON
24-12-27_16-19-59-606320,OFF
24-12-27_16-19-59-723442,ON
24-12-27_16-19-59-841189,OFF
24-12-27_16-19-59-959328,ON
24-12-27_16-20-00-077589,OFF
24-12-27_16-20-00-195855,ON
24-12-27_16-20-00-317250,OFF
24-12-27_16-20-00-436228,ON
24-12-27_16-20-00-554426,OFF
24-12-27_16-20-00-674269,ON
24-12-27_16-20-00-792050,OFF
24-12-27_16-20-00-910401,ON
24-12-27_16-20-01-029510,OFF
24-12-27_16-20-01-151235,ON
24-12-27_16-20-01-270581,OFF
24-12-27_16-20-01-390332,ON
24-12-27_16-20-01-509359,OFF
24-12-27_16-20-01-633951,ON
24-12-27_16-20-01-753199,OFF
24-12-27_16-20-01-871632,ON
24-12-27_16-20-01-989985,OFF
24-12-27_16-20-02-115629,ON
24-12-27_16-20-02-234622,OFF
24-12-27_16-20-02-355410,ON
24-12-27_16-20-02-473000,OFF
24-12-27_16-20-02-592244,ON
24-12-27_16-20-02-709646,OFF
24-12-27_16-20-02-827988,ON
24-12-27_16-20-02-945429,OFF
24-12-27_16-20-03-075530,ON
24-12-27_16-20-03-192878,OFF
24-12-27_16-20-03-310309,ON
24-12-27_16-20-03-428545,OFF
24-12-27_16-20-03-547171,ON
24-12-27_16-20-03-666714,OFF
24-12-27_16-20-03-786934,ON
24-12-27_16-20-03-904720,OFF
24-12-27_16-20-04-026212,ON
24-12-27_16-20-04-151548,OFF
24-12-27_16-20-04-269670,ON
24-12-27_16-20-04-389803,OFF
24-12-27_16-20-04-507923,ON
24-12-27_16-20-04-626255,OFF
24-12-27_16-20-04-745889,ON
24-12-27_16-20-04-863521,OFF
24-12-27_16-20-04-983115,ON
24-12-27_16-20-05-102155,OFF
24-12-27_16-20-05-219845,ON
24-12-27_16-20-05-339630,OFF
24-12-27_16-20-05-457566,ON
24-12-27_16-20-05-587317,OFF
24-12-27_16-20-05-706139,ON
24-12-27_16-20-05-824912,OFF
24-12-27_16-20-05-942764,ON
24-12-27_16-20-06-062307,OFF
24-12-27_16-20-06-184328,ON
24-12-27_16-20-06-304484,OFF
24-12-27_16-20-06-424631,ON
24-12-27_16-20-06-547328,OFF
24-12-27_16-20-06-666580,ON
24-12-27_16-20-06-783678,OFF
24-12-27_16-20-06-901947,ON
24-12-27_16-20-07-018368,OFF
24-12-27_16-20-07-137230,ON
24-12-27_16-20-07-256651,OFF
24-12-27_16-20-07-374072,ON
24-12-27_16-20-07-491983,OFF
24-12-27_16-20-07-611967,ON
24-12-27_16-20-07-730506,OFF
24-12-27_16-20-07-853081,ON
24-12-27_16-20-07-972368,OFF
24-12-27_16-20-08-091030,ON
24-12-27_16-20-08-210146,OFF
24-12-27_16-20-08-328636,ON
24-12-27_16-20-08-447697,OFF
24-12-27_16-20-08-567397,ON
24-12-27_16-20-08-686620,OFF
24-12-27_16-20-08-806378,ON
24-12-27_16-20-08-924470,OFF
24-12-27_16-20-09-043759,ON
24-12-27_16-20-09-160326,OFF
24-12-27_16-20-09-278437,ON
24-12-27_16-20-09-396877,OFF
24-12-27_16-20-09-522259,ON
24-12-27_16-20-09-639446,OFF
24-12-27_16-20-09-758101,ON
24-12-27_16-20-09-875328,OFF
24-12-27_16-20-09-994585,ON
24-12-27_16-20-10-112489,OFF
24-12-27_16-20-10-230084,ON
24-12-27_16-20-10-352176,OFF
24-12-27_16-20-10-479891,ON
24-12-27_16-20-10-600552,OFF
24-12-27_16-20-10-721152,ON
24-12-27_16-20-10-839536,OFF
24-12-27_16-20-10-958660,ON
24-12-27_16-20-11-077094,OFF
24-12-27_16-20-11-195425,ON
24-12-27_16-20-11-313327,OFF
24-12-27_16-20-11-432718,ON
24-12-27_16-20-11-550659,OFF
24-12-27_16-20-11-668498,ON
24-12-27_16-20-11-790646,OFF
24-12-27_16-20-11-910919,ON
24-12-27_16-20-12-061134,OFF
24-12-27_16-20-12-178834,ON
24-12-27_16-20-12-299960,OFF
24-12-27_16-20-12-419093,ON
24-12-27_16-20-12-536283,OFF
24-12-27_16-20-12-658889,ON
24-12-27_16-20-12-778865,OFF
24-12-27_16-20-12-896543,ON
24-12-27_16-20-13-019276,OFF
24-12-27_16-20-13-138251,ON
24-12-27_16-20-13-258185,OFF
24-12-27_16-20-13-379331,ON
24-12-27_16-20-13-504400,OFF
24-12-27_16-20-13-621683,ON
24-12-27_16-20-13-741741,OFF
24-12-27_16-20-13-859647,ON
24-12-27_16-20-13-976888,OFF
24-12-27_16-20-14-095210,ON
24-12-27_16-20-14-213768,OFF
24-12-27_16-20-14-337934,ON
24-12-27_16-20-14-456078,OFF
24-12-27_16-20-14-572823,ON
24-12-27_16-20-14-691302,OFF
24-12-27_16-20-14-809439,ON
24-12-27_16-20-14-930103,OFF
24-12-27_16-20-15-049037,ON
24-12-27_16-20-15-169872,OFF
24-12-27_16-20-15-286536,ON
24-12-27_16-20-15-405682,OFF
24-12-27_16-20-15-524810,ON
24-12-27_16-20-15-648205,OFF
24-12-27_16-20-15-768008,ON
24-12-27_16-20-15-887582,OFF
24-12-27_16-20-16-005431,ON
24-12-27_16-20-16-122440,OFF
24-12-27_16-20-16-240603,ON
24-12-27_16-20-16-359290,OFF
24-12-27_16-20-16-476086,ON
24-12-27_16-20-16-608687,OFF
24-12-27_16-20-16-727540,ON
24-12-27_16-20-16-850496,OFF
24-12-27_16-20-16-969411,ON
24-12-27_16-20-17-086526,OFF
24-12-27_16-20-17-203838,ON
24-12-27_16-20-17-321925,OFF
24-12-27_16-20-17-442306,ON
24-12-27_16-20-17-560806,OFF
24-12-27_16-20-17-678045,ON
24-12-27_16-20-17-795540,OFF
24-12-27_16-20-17-914280,ON
24-12-27_16-20-18-033349,OFF
24-12-27_16-20-18-156073,ON
24-12-27_16-20-18-273966,OFF
24-12-27_16-20-18-394156,ON
24-12-27_16-20-18-512623,OFF
24-12-27_16-20-18-634128,ON
24-12-27_16-20-18-752601,OFF
24-12-27_16-20-18-869764,ON
24-12-27_16-20-18-988949,OFF
24-12-27_16-20-19-107185,ON
24-12-27_16-20-19-226623,OFF
24-12-27_16-20-19-345136,ON
24-12-27_16-20-19-465707,OFF
24-12-27_16-20-19-584417,ON
24-12-27_16-20-19-703644,OFF
24-12-27_16-20-19-822924,ON
24-12-27_16-20-19-941863,OFF
24-12-27_16-20-20-074674,ON
24-12-27_16-20-20-191678,OFF
24-12-27_16-20-20-318356,ON
24-12-27_16-20-20-436784,OFF
24-12-27_16-20-20-555451,ON
24-12-27_16-20-20-672524,OFF
24-12-27_16-20-20-791826,ON
24-12-27_16-20-20-910027,OFF
24-12-27_16-20-21-029179,ON
24-12-27_16-20-21-149836,OFF
24-12-27_16-20-21-273394,ON
24-12-27_16-20-21-393163,OFF
24-12-27_16-20-21-510031,ON
24-12-27_16-20-21-628160,OFF
24-12-27_16-20-21-760337,ON
24-12-27_16-20-21-878077,OFF
24-12-27_16-20-22-004212,ON
24-12-27_16-20-22-122467,OFF
24-12-27_16-20-22-240495,ON
24-12-27_16-20-22-359730,OFF
24-12-27_16-20-22-489773,ON
24-12-27_16-20-22-610808,OFF
24-12-27_16-20-22-728902,ON
24-12-27_16-20-22-849353,OFF
24-12-27_16-20-22-969357,ON
24-12-27_16-20-23-087656,OFF
24-12-27_16-20-23-210105,ON
24-12-27_16-20-23-328047,OFF
24-12-27_16-20-23-460047,ON
24-12-27_16-20-23-576922,OFF
24-12-27_16-20-23-694171,ON
24-12-27_16-20-23-812220,OFF
24-12-27_16-20-23-930174,ON
24-12-27_16-20-24-054179,OFF
24-12-27_16-20-24-173210,ON
24-12-27_16-20-24-290538,OFF
24-12-27_16-20-24-408574,ON
24-12-27_16-20-24-529375,OFF
24-12-27_16-20-24-651986,ON
24-12-27_16-20-24-772240,OFF
24-12-27_16-20-24-889923,ON
24-12-27_16-20-25-011078,OFF
24-12-27_16-20-25-129591,ON
24-12-27_16-20-25-246911,OFF
24-12-27_16-20-25-365383,ON
24-12-27_16-20-25-486209,OFF
24-12-27_16-20-25-605010,ON
24-12-27_16-20-25-724098,OFF
24-12-27_16-20-25-842742,ON
24-12-27_16-20-25-961075,OFF
24-12-27_16-20-26-083137,ON
24-12-27_16-20-26-201927,OFF
24-12-27_16-20-26-320053,ON
24-12-27_16-20-26-437341,OFF
24-12-27_16-20-26-555822,ON
24-12-27_16-20-26-674313,OFF
24-12-27_16-20-26-791630,ON
24-12-27_16-20-26-910619,OFF
24-12-27_16-20-27-027605,ON
24-12-27_16-20-27-145742,OFF
24-12-27_16-20-27-265368,ON
