Timestamp,State
24-12-27_16-24-21-314468,ON
24-12-27_16-24-22-334689,OFF
24-12-27_16-24-23-351952,ON
24-12-27_16-24-24-369926,OFF
24-12-27_16-24-25-386942,ON
24-12-27_16-24-26-406622,OFF
24-12-27_16-24-27-424716,ON
24-12-27_16-24-28-443156,OFF
24-12-27_16-24-29-462280,ON
24-12-27_16-24-30-480493,OFF
24-12-27_16-24-31-499996,ON
24-12-27_16-24-32-519279,OFF
24-12-27_16-24-33-538441,ON
24-12-27_16-24-34-556851,OFF
24-12-27_16-24-35-575150,ON
24-12-27_16-24-36-592410,OFF
24-12-27_16-24-37-614604,ON
24-12-27_16-24-38-636228,OFF
24-12-27_16-24-39-655659,ON
24-12-27_16-24-40-675376,OFF
24-12-27_16-24-41-694290,ON
24-12-27_16-24-42-711959,OFF
24-12-27_16-24-43-731198,ON
24-12-27_16-24-44-748835,OFF
24-12-27_16-24-45-768602,ON
24-12-27_16-24-46-788656,OFF
24-12-27_16-24-47-806679,ON
24-12-27_16-24-48-825487,OFF
24-12-27_16-24-49-843410,ON
24-12-27_16-24-50-861598,OFF
24-12-27_16-24-51-879774,ON
24-12-27_16-24-52-898789,OFF
24-12-27_16-24-53-916356,ON
24-12-27_16-24-54-934879,OFF
24-12-27_16-24-55-954798,ON
24-12-27_16-24-56-972805,OFF
24-12-27_16-24-57-992712,ON
24-12-27_16-24-59-010909,OFF
24-12-27_16-25-00-049315,ON
24-12-27_16-25-01-075595,OFF
24-12-27_16-25-02-100268,ON
24-12-27_16-25-03-119214,OFF
24-12-27_16-25-04-138578,ON
24-12-27_16-25-05-156616,OFF
24-12-27_16-25-06-173983,ON
24-12-27_16-25-07-193188,OFF
24-12-27_16-25-08-211703,ON
24-12-27_16-25-09-234866,OFF
24-12-27_16-25-10-252494,ON
24-12-27_16-25-11-272421,OFF
24-12-27_16-25-12-292281,ON
24-12-27_16-25-13-310994,OFF
24-12-27_16-25-14-328294,ON
24-12-27_16-25-15-345260,OFF
24-12-27_16-25-16-362021,ON
24-12-27_16-25-17-380184,OFF
24-12-27_16-25-18-400212,ON
24-12-27_16-25-19-422561,OFF
24-12-27_16-25-20-451598,ON
24-12-27_16-25-21-471777,OFF
