Timestamp,State
24-12-27_16-15-59-808837,ON
24-12-27_16-16-00-326579,OFF
24-12-27_16-16-00-844460,ON
24-12-27_16-16-01-364489,OFF
24-12-27_16-16-01-882407,ON
24-12-27_16-16-02-400394,OFF
24-12-27_16-16-02-919051,ON
24-12-27_16-16-03-436633,OFF
24-12-27_16-16-03-954306,ON
24-12-27_16-16-04-472192,OFF
24-12-27_16-16-04-990072,ON
24-12-27_16-16-05-506799,OFF
24-12-27_16-16-06-023572,ON
24-12-27_16-16-06-543274,OFF
24-12-27_16-16-07-060794,ON
24-12-27_16-16-07-578124,OFF
24-12-27_16-16-08-097595,ON
24-12-27_16-16-08-616771,OFF
24-12-27_16-16-09-136310,ON
24-12-27_16-16-09-654584,OFF
24-12-27_16-16-10-173242,ON
24-12-27_16-16-10-691471,OFF
24-12-27_16-16-11-210090,ON
24-12-27_16-16-11-729269,OFF
24-12-27_16-16-12-245900,ON
24-12-27_16-16-12-766319,OFF
24-12-27_16-16-13-285178,ON
24-12-27_16-16-13-803260,OFF
24-12-27_16-16-14-320089,ON
24-12-27_16-16-14-839636,OFF
24-12-27_16-16-15-357043,ON
24-12-27_16-16-15-877251,OFF
24-12-27_16-16-16-395592,ON
24-12-27_16-16-16-915398,OFF
24-12-27_16-16-17-433950,ON
24-12-27_16-16-17-960303,OFF
24-12-27_16-16-18-481142,ON
24-12-27_16-16-19-001660,OFF
24-12-27_16-16-19-549724,ON
24-12-27_16-16-20-068017,OFF
24-12-27_16-16-20-585042,ON
24-12-27_16-16-21-102383,OFF
24-12-27_16-16-21-620009,ON
24-12-27_16-16-22-152118,OFF
24-12-27_16-16-22-672780,ON
24-12-27_16-16-23-191627,OFF
24-12-27_16-16-23-710341,ON
24-12-27_16-16-24-227641,OFF
24-12-27_16-16-24-745729,ON
24-12-27_16-16-25-265964,OFF
24-12-27_16-16-25-784859,ON
24-12-27_16-16-26-302562,OFF
24-12-27_16-16-26-822113,ON
24-12-27_16-16-27-341058,OFF
24-12-27_16-16-27-861003,ON
24-12-27_16-16-28-389174,OFF
24-12-27_16-16-28-907012,ON
24-12-27_16-16-29-425870,OFF
24-12-27_16-16-29-943391,ON
24-12-27_16-16-30-467411,OFF
24-12-27_16-16-30-987227,ON
24-12-27_16-16-31-505455,OFF
24-12-27_16-16-32-025821,ON
24-12-27_16-16-32-543489,OFF
24-12-27_16-16-33-061369,ON
24-12-27_16-16-33-580351,OFF
24-12-27_16-16-34-100583,ON
24-12-27_16-16-34-618115,OFF
24-12-27_16-16-35-137840,ON
24-12-27_16-16-35-656980,OFF
24-12-27_16-16-36-176164,ON
24-12-27_16-16-36-694126,OFF
24-12-27_16-16-37-212809,ON
24-12-27_16-16-37-735580,OFF
24-12-27_16-16-38-255863,ON
24-12-27_16-16-38-773306,OFF
24-12-27_16-16-39-291944,ON
24-12-27_16-16-39-809166,OFF
24-12-27_16-16-40-326228,ON
24-12-27_16-16-40-852076,OFF
24-12-27_16-16-41-371024,ON
24-12-27_16-16-41-889954,OFF
24-12-27_16-16-42-408395,ON
24-12-27_16-16-42-926933,OFF
24-12-27_16-16-43-445501,ON
24-12-27_16-16-43-971085,OFF
24-12-27_16-16-44-505725,ON
24-12-27_16-16-45-027328,OFF
24-12-27_16-16-45-560896,ON
24-12-27_16-16-46-077570,OFF
24-12-27_16-16-46-595250,ON
24-12-27_16-16-47-115816,OFF
24-12-27_16-16-47-634845,ON
24-12-27_16-16-48-153213,OFF
24-12-27_16-16-48-672181,ON
24-12-27_16-16-49-190973,OFF
24-12-27_16-16-49-709746,ON
24-12-27_16-16-50-228015,OFF
24-12-27_16-16-50-746631,ON
24-12-27_16-16-51-268811,OFF
24-12-27_16-16-51-788684,ON
24-12-27_16-16-52-307161,OFF
24-12-27_16-16-52-826227,ON
24-12-27_16-16-53-345429,OFF
24-12-27_16-16-53-871626,ON
24-12-27_16-16-54-390052,OFF
24-12-27_16-16-54-909598,ON
24-12-27_16-16-55-427490,OFF
24-12-27_16-16-55-946663,ON
24-12-27_16-16-56-466634,OFF
24-12-27_16-16-56-985118,ON
24-12-27_16-16-57-503219,OFF
24-12-27_16-16-58-021813,ON
24-12-27_16-16-58-539245,OFF
24-12-27_16-16-59-058716,ON
24-12-27_16-16-59-576980,OFF
24-12-27_16-17-00-094296,ON
24-12-27_16-17-00-619344,OFF
24-12-27_16-17-01-136486,ON
24-12-27_16-17-01-655230,OFF
