Timestamp,State
24-12-27_16-21-54-517622,ON
24-12-27_16-21-54-588525,OFF
24-12-27_16-21-54-659126,ON
24-12-27_16-21-54-735928,OFF
24-12-27_16-21-54-804629,ON
24-12-27_16-21-54-872086,OFF
24-12-27_16-21-54-940885,ON
24-12-27_16-21-55-010009,OFF
24-12-27_16-21-55-078161,ON
24-12-27_16-21-55-152537,OFF
24-12-27_16-21-55-220639,ON
24-12-27_16-21-55-288877,OFF
24-12-27_16-21-55-359423,ON
24-12-27_16-21-55-428217,OFF
24-12-27_16-21-55-496582,ON
24-12-27_16-21-55-567141,OFF
24-12-27_16-21-55-635652,ON
24-12-27_16-21-55-702794,OFF
24-12-27_16-21-55-770878,ON
24-12-27_16-21-55-839151,OFF
24-12-27_16-21-55-909849,ON
24-12-27_16-21-55-977266,OFF
24-12-27_16-21-56-061649,ON
24-12-27_16-21-56-130754,OFF
24-12-27_16-21-56-200621,ON
24-12-27_16-21-56-269204,OFF
24-12-27_16-21-56-337551,ON
24-12-27_16-21-56-405705,OFF
24-12-27_16-21-56-473711,ON
24-12-27_16-21-56-544302,OFF
24-12-27_16-21-56-612187,ON
24-12-27_16-21-56-680355,OFF
24-12-27_16-21-56-754560,ON
24-12-27_16-21-56-824699,OFF
24-12-27_16-21-56-892429,ON
24-12-27_16-21-56-961230,OFF
24-12-27_16-21-57-028582,ON
24-12-27_16-21-57-097149,OFF
24-12-27_16-21-57-169747,ON
24-12-27_16-21-57-237263,OFF
24-12-27_16-21-57-304200,ON
24-12-27_16-21-57-372394,OFF
24-12-27_16-21-57-442323,ON
24-12-27_16-21-57-510439,OFF
24-12-27_16-21-57-586256,ON
24-12-27_16-21-57-656065,OFF
24-12-27_16-21-57-724621,ON
24-12-27_16-21-57-793240,OFF
24-12-27_16-21-57-861993,ON
24-12-27_16-21-57-930108,OFF
24-12-27_16-21-57-999098,ON
24-12-27_16-21-58-068150,OFF
24-12-27_16-21-58-136114,ON
24-12-27_16-21-58-204116,OFF
24-12-27_16-21-58-271420,ON
24-12-27_16-21-58-342520,OFF
24-12-27_16-21-58-411435,ON
24-12-27_16-21-58-479466,OFF
24-12-27_16-21-58-546122,ON
24-12-27_16-21-58-616742,OFF
24-12-27_16-21-58-685547,ON
24-12-27_16-21-58-753001,OFF
24-12-27_16-21-58-820139,ON
24-12-27_16-21-58-889137,OFF
24-12-27_16-21-58-957710,ON
24-12-27_16-21-59-026875,OFF
24-12-27_16-21-59-094951,ON
24-12-27_16-21-59-163503,OFF
24-12-27_16-21-59-237726,ON
24-12-27_16-21-59-305417,OFF
24-12-27_16-21-59-384992,ON
24-12-27_16-21-59-452775,OFF
24-12-27_16-21-59-520814,ON
24-12-27_16-21-59-590559,OFF
24-12-27_16-21-59-660372,ON
24-12-27_16-21-59-728026,OFF
24-12-27_16-21-59-797487,ON
24-12-27_16-21-59-866335,OFF
24-12-27_16-21-59-935495,ON
24-12-27_16-22-00-004471,OFF
24-12-27_16-22-00-072343,ON
24-12-27_16-22-00-142240,OFF
24-12-27_16-22-00-210333,ON
24-12-27_16-22-00-289396,OFF
24-12-27_16-22-00-358263,ON
24-12-27_16-22-00-438799,OFF
24-12-27_16-22-00-507854,ON
24-12-27_16-22-00-576627,OFF
24-12-27_16-22-00-645887,ON
24-12-27_16-22-00-714565,OFF
24-12-27_16-22-00-783998,ON
24-12-27_16-22-00-854683,OFF
24-12-27_16-22-00-923785,ON
24-12-27_16-22-00-992380,OFF
24-12-27_16-22-01-061051,ON
24-12-27_16-22-01-129442,OFF
24-12-27_16-22-01-200941,ON
24-12-27_16-22-01-270519,OFF
24-12-27_16-22-01-340320,ON
24-12-27_16-22-01-408100,OFF
24-12-27_16-22-01-475260,ON
24-12-27_16-22-01-544396,OFF
24-12-27_16-22-01-619565,ON
24-12-27_16-22-01-687298,OFF
24-12-27_16-22-01-768041,ON
24-12-27_16-22-01-837569,OFF
24-12-27_16-22-01-905077,ON
24-12-27_16-22-01-974647,OFF
24-12-27_16-22-02-043060,ON
24-12-27_16-22-02-111887,OFF
24-12-27_16-22-02-179445,ON
24-12-27_16-22-02-248758,OFF
24-12-27_16-22-02-318643,ON
24-12-27_16-22-02-386558,OFF
24-12-27_16-22-02-454687,ON
24-12-27_16-22-02-522754,OFF
24-12-27_16-22-02-591493,ON
24-12-27_16-22-02-660412,OFF
24-12-27_16-22-02-728926,ON
24-12-27_16-22-02-797501,OFF
24-12-27_16-22-02-866047,ON
24-12-27_16-22-02-934201,OFF
24-12-27_16-22-03-002825,ON
24-12-27_16-22-03-069630,OFF
24-12-27_16-22-03-139244,ON
24-12-27_16-22-03-206141,OFF
24-12-27_16-22-03-274880,ON
24-12-27_16-22-03-343041,OFF
24-12-27_16-22-03-413311,ON
24-12-27_16-22-03-481229,OFF
24-12-27_16-22-03-551446,ON
24-12-27_16-22-03-620557,OFF
24-12-27_16-22-03-691285,ON
24-12-27_16-22-03-759563,OFF
24-12-27_16-22-03-828995,ON
24-12-27_16-22-03-901080,OFF
24-12-27_16-22-03-968969,ON
24-12-27_16-22-04-038440,OFF
24-12-27_16-22-04-107509,ON
24-12-27_16-22-04-178834,OFF
24-12-27_16-22-04-247062,ON
24-12-27_16-22-04-316019,OFF
24-12-27_16-22-04-385536,ON
24-12-27_16-22-04-454133,OFF
24-12-27_16-22-04-522023,ON
24-12-27_16-22-04-589708,OFF
24-12-27_16-22-04-658739,ON
24-12-27_16-22-04-727592,OFF
24-12-27_16-22-04-794919,ON
24-12-27_16-22-04-886850,OFF
24-12-27_16-22-04-954938,ON
24-12-27_16-22-05-025040,OFF
24-12-27_16-22-05-092874,ON
24-12-27_16-22-05-161810,OFF
24-12-27_16-22-05-230939,ON
24-12-27_16-22-05-300571,OFF
24-12-27_16-22-05-369182,ON
24-12-27_16-22-05-436751,OFF
24-12-27_16-22-05-503717,ON
24-12-27_16-22-05-574202,OFF
24-12-27_16-22-05-642926,ON
24-12-27_16-22-05-711408,OFF
24-12-27_16-22-05-779234,ON
24-12-27_16-22-05-850387,OFF
24-12-27_16-22-05-917447,ON
24-12-27_16-22-05-987917,OFF
24-12-27_16-22-06-055831,ON
24-12-27_16-22-06-124471,OFF
24-12-27_16-22-06-190994,ON
24-12-27_16-22-06-260089,OFF
24-12-27_16-22-06-329234,ON
24-12-27_16-22-06-398193,OFF
24-12-27_16-22-06-469534,ON
24-12-27_16-22-06-536494,OFF
24-12-27_16-22-06-608504,ON
24-12-27_16-22-06-676467,OFF
24-12-27_16-22-06-744066,ON
24-12-27_16-22-06-811299,OFF
24-12-27_16-22-06-879264,ON
24-12-27_16-22-06-948932,OFF
24-12-27_16-22-07-018591,ON
24-12-27_16-22-07-086935,OFF
24-12-27_16-22-07-155945,ON
24-12-27_16-22-07-222643,OFF
24-12-27_16-22-07-292311,ON
24-12-27_16-22-07-360599,OFF
24-12-27_16-22-07-430069,ON
24-12-27_16-22-07-501008,OFF
24-12-27_16-22-07-568961,ON
24-12-27_16-22-07-637074,OFF
24-12-27_16-22-07-704905,ON
24-12-27_16-22-07-773474,OFF
24-12-27_16-22-07-840591,ON
24-12-27_16-22-07-908555,OFF
24-12-27_16-22-07-975263,ON
24-12-27_16-22-08-044792,OFF
24-12-27_16-22-08-113071,ON
24-12-27_16-22-08-183016,OFF
24-12-27_16-22-08-252064,ON
24-12-27_16-22-08-320795,OFF
24-12-27_16-22-08-387954,ON
24-12-27_16-22-08-467767,OFF
24-12-27_16-22-08-543777,ON
24-12-27_16-22-08-612105,OFF
24-12-27_16-22-08-686302,ON
24-12-27_16-22-08-754269,OFF
24-12-27_16-22-08-824527,ON
24-12-27_16-22-08-891266,OFF
24-12-27_16-22-08-960214,ON
24-12-27_16-22-09-083257,OFF
24-12-27_16-22-09-152037,ON
24-12-27_16-22-09-220924,OFF
24-12-27_16-22-09-287410,ON
24-12-27_16-22-09-356304,OFF
24-12-27_16-22-09-425565,ON
24-12-27_16-22-09-494069,OFF
24-12-27_16-22-09-586056,ON
24-12-27_16-22-09-652613,OFF
24-12-27_16-22-09-720968,ON
24-12-27_16-22-09-790364,OFF
24-12-27_16-22-09-857908,ON
24-12-27_16-22-09-926881,OFF
24-12-27_16-22-09-999125,ON
24-12-27_16-22-10-084017,OFF
24-12-27_16-22-10-152515,ON
24-12-27_16-22-10-220623,OFF
24-12-27_16-22-10-287241,ON
24-12-27_16-22-10-355075,OFF
24-12-27_16-22-10-437546,ON
24-12-27_16-22-10-516892,OFF
24-12-27_16-22-10-585438,ON
24-12-27_16-22-10-657561,OFF
24-12-27_16-22-10-725657,ON
24-12-27_16-22-10-793765,OFF
24-12-27_16-22-10-871400,ON
