Timestamp,State
24-12-27_16-18-05-314022,ON
24-12-27_16-18-05-555279,OFF
24-12-27_16-18-05-771888,ON
24-12-27_16-18-05-988901,OFF
24-12-27_16-18-06-206280,ON
24-12-27_16-18-06-424870,OFF
24-12-27_16-18-06-643582,ON
24-12-27_16-18-06-861030,OFF
24-12-27_16-18-07-082597,ON
24-12-27_16-18-07-303406,OFF
24-12-27_16-18-07-520763,ON
24-12-27_16-18-07-740549,OFF
24-12-27_16-18-07-958311,ON
24-12-27_16-18-08-191723,OFF
24-12-27_16-18-08-411318,ON
24-12-27_16-18-08-629998,OFF
24-12-27_16-18-08-849785,ON
24-12-27_16-18-09-068779,OFF
24-12-27_16-18-09-286992,ON
24-12-27_16-18-09-504787,OFF
24-12-27_16-18-09-724056,ON
24-12-27_16-18-09-943129,OFF
24-12-27_16-18-10-160816,ON
24-12-27_16-18-10-379743,OFF
24-12-27_16-18-10-596738,ON
24-12-27_16-18-10-815195,OFF
24-12-27_16-18-11-034719,ON
24-12-27_16-18-11-252543,OFF
24-12-27_16-18-11-472218,ON
24-12-27_16-18-11-690603,OFF
24-12-27_16-18-11-908609,ON
24-12-27_16-18-12-127347,OFF
24-12-27_16-18-12-345140,ON
24-12-27_16-18-12-563091,OFF
24-12-27_16-18-12-782075,ON
24-12-27_16-18-13-001261,OFF
24-12-27_16-18-13-219041,ON
24-12-27_16-18-13-437395,OFF
24-12-27_16-18-13-655382,ON
24-12-27_16-18-13-872814,OFF
24-12-27_16-18-14-103802,ON
24-12-27_16-18-14-323541,OFF
24-12-27_16-18-14-542181,ON
24-12-27_16-18-14-761044,OFF
24-12-27_16-18-14-980114,ON
24-12-27_16-18-15-199194,OFF
24-12-27_16-18-15-416605,ON
24-12-27_16-18-15-637453,OFF
24-12-27_16-18-15-855475,ON
24-12-27_16-18-16-072437,OFF
24-12-27_16-18-16-291282,ON
24-12-27_16-18-16-509140,OFF
24-12-27_16-18-16-736494,ON
24-12-27_16-18-16-954965,OFF
24-12-27_16-18-17-173908,ON
24-12-27_16-18-17-391622,OFF
24-12-27_16-18-17-608319,ON
24-12-27_16-18-17-827605,OFF
24-12-27_16-18-18-048992,ON
24-12-27_16-18-18-267820,OFF
24-12-27_16-18-18-484968,ON
24-12-27_16-18-18-704569,OFF
24-12-27_16-18-18-944070,ON
24-12-27_16-18-19-163150,OFF
24-12-27_16-18-19-381557,ON
24-12-27_16-18-19-599690,OFF
24-12-27_16-18-19-818983,ON
24-12-27_16-18-20-035787,OFF
24-12-27_16-18-20-256067,ON
24-12-27_16-18-20-487476,OFF
24-12-27_16-18-20-705199,ON
24-12-27_16-18-20-923519,OFF
24-12-27_16-18-21-140373,ON
24-12-27_16-18-21-361996,OFF
24-12-27_16-18-21-589478,ON
24-12-27_16-18-21-808713,OFF
24-12-27_16-18-22-039855,ON
24-12-27_16-18-22-259840,OFF
24-12-27_16-18-22-477725,ON
24-12-27_16-18-22-696961,OFF
24-12-27_16-18-22-916087,ON
24-12-27_16-18-23-134967,OFF
24-12-27_16-18-23-352998,ON
24-12-27_16-18-23-570880,OFF
24-12-27_16-18-23-789731,ON
24-12-27_16-18-24-008453,OFF
24-12-27_16-18-24-227882,ON
24-12-27_16-18-24-450297,OFF
24-12-27_16-18-24-668404,ON
24-12-27_16-18-24-886461,OFF
24-12-27_16-18-25-103440,ON
24-12-27_16-18-25-320710,OFF
24-12-27_16-18-25-539679,ON
24-12-27_16-18-25-756459,OFF
24-12-27_16-18-25-975286,ON
24-12-27_16-18-26-194109,OFF
24-12-27_16-18-26-422072,ON
24-12-27_16-18-26-639448,OFF
24-12-27_16-18-26-856989,ON
24-12-27_16-18-27-075366,OFF
24-12-27_16-18-27-294260,ON
24-12-27_16-18-27-513082,OFF
24-12-27_16-18-27-734605,ON
24-12-27_16-18-27-951079,OFF
24-12-27_16-18-28-169978,ON
24-12-27_16-18-28-386783,OFF
24-12-27_16-18-28-609337,ON
24-12-27_16-18-28-829221,OFF
24-12-27_16-18-29-050843,ON
24-12-27_16-18-29-268287,OFF
24-12-27_16-18-29-486144,ON
24-12-27_16-18-29-704433,OFF
24-12-27_16-18-29-922931,ON
24-12-27_16-18-30-170912,OFF
24-12-27_16-18-30-388779,ON
24-12-27_16-18-30-607414,OFF
24-12-27_16-18-30-826556,ON
24-12-27_16-18-31-056103,OFF
24-12-27_16-18-31-273958,ON
24-12-27_16-18-31-491615,OFF
24-12-27_16-18-31-715256,ON
24-12-27_16-18-31-934699,OFF
24-12-27_16-18-32-152761,ON
24-12-27_16-18-32-370120,OFF
24-12-27_16-18-32-588432,ON
24-12-27_16-18-32-806419,OFF
24-12-27_16-18-33-025082,ON
24-12-27_16-18-33-244563,OFF
24-12-27_16-18-33-477789,ON
24-12-27_16-18-33-695846,OFF
24-12-27_16-18-33-914395,ON
24-12-27_16-18-34-134843,OFF
24-12-27_16-18-34-355300,ON
24-12-27_16-18-34-573422,OFF
24-12-27_16-18-34-791880,ON
24-12-27_16-18-35-011377,OFF
24-12-27_16-18-35-229919,ON
24-12-27_16-18-35-453499,OFF
24-12-27_16-18-35-671718,ON
24-12-27_16-18-35-891069,OFF
24-12-27_16-18-36-109805,ON
24-12-27_16-18-36-328119,OFF
24-12-27_16-18-36-551341,ON
24-12-27_16-18-36-770422,OFF
24-12-27_16-18-36-987443,ON
24-12-27_16-18-37-205974,OFF
24-12-27_16-18-37-424168,ON
24-12-27_16-18-37-641284,OFF
24-12-27_16-18-37-858727,ON
24-12-27_16-18-38-081241,OFF
24-12-27_16-18-38-311365,ON
24-12-27_16-18-38-530383,OFF
24-12-27_16-18-38-752139,ON
24-12-27_16-18-38-970305,OFF
24-12-27_16-18-39-188622,ON
24-12-27_16-18-39-406608,OFF
24-12-27_16-18-39-625173,ON
24-12-27_16-18-39-857760,OFF
24-12-27_16-18-40-085376,ON
24-12-27_16-18-40-302650,OFF
24-12-27_16-18-40-535987,ON
24-12-27_16-18-40-753140,OFF
24-12-27_16-18-40-973030,ON
24-12-27_16-18-41-191266,OFF
24-12-27_16-18-41-409446,ON
24-12-27_16-18-41-627563,OFF
24-12-27_16-18-41-845454,ON
24-12-27_16-18-42-064408,OFF
24-12-27_16-18-42-283344,ON
24-12-27_16-18-42-501254,OFF
24-12-27_16-18-42-720247,ON
24-12-27_16-18-42-939591,OFF
24-12-27_16-18-43-156306,ON
24-12-27_16-18-43-373511,OFF
24-12-27_16-18-43-591763,ON
24-12-27_16-18-43-809572,OFF
24-12-27_16-18-44-027409,ON
24-12-27_16-18-44-244527,OFF
24-12-27_16-18-44-466408,ON
24-12-27_16-18-44-684641,OFF
24-12-27_16-18-44-902734,ON
24-12-27_16-18-45-122497,OFF
24-12-27_16-18-45-341851,ON
24-12-27_16-18-45-559689,OFF
24-12-27_16-18-45-776715,ON
24-12-27_16-18-45-995979,OFF
24-12-27_16-18-46-213810,ON
24-12-27_16-18-46-433034,OFF
24-12-27_16-18-46-651708,ON
24-12-27_16-18-46-870162,OFF
24-12-27_16-18-47-088664,ON
24-12-27_16-18-47-307040,OFF
24-12-27_16-18-47-524792,ON
24-12-27_16-18-47-759499,OFF
24-12-27_16-18-47-987653,ON
24-12-27_16-18-48-205350,OFF
24-12-27_16-18-48-423217,ON
24-12-27_16-18-48-640379,OFF
24-12-27_16-18-48-859042,ON
24-12-27_16-18-49-082500,OFF
24-12-27_16-18-49-303080,ON
24-12-27_16-18-49-519903,OFF
24-12-27_16-18-49-737214,ON
24-12-27_16-18-49-955099,OFF
24-12-27_16-18-50-185459,ON
24-12-27_16-18-50-404789,OFF
24-12-27_16-18-50-622392,ON
24-12-27_16-18-50-840000,OFF
24-12-27_16-18-51-058937,ON
24-12-27_16-18-51-277118,OFF
24-12-27_16-18-51-494384,ON
24-12-27_16-18-51-711334,OFF
24-12-27_16-18-51-934274,ON
24-12-27_16-18-52-151726,OFF
24-12-27_16-18-52-371222,ON
24-12-27_16-18-52-590181,OFF
24-12-27_16-18-52-817931,ON
24-12-27_16-18-53-035461,OFF
24-12-27_16-18-53-252865,ON
24-12-27_16-18-53-474404,OFF
24-12-27_16-18-53-692753,ON
24-12-27_16-18-53-910231,OFF
24-12-27_16-18-54-129464,ON
24-12-27_16-18-54-348938,OFF
24-12-27_16-18-54-567874,ON
24-12-27_16-18-54-785182,OFF
24-12-27_16-18-55-004008,ON
24-12-27_16-18-55-223791,OFF
24-12-27_16-18-55-441336,ON
24-12-27_16-18-55-658992,OFF
24-12-27_16-18-55-886021,ON
24-12-27_16-18-56-103274,OFF
24-12-27_16-18-56-320586,ON
24-12-27_16-18-56-538862,OFF
24-12-27_16-18-56-757081,ON
24-12-27_16-18-56-975061,OFF
24-12-27_16-18-57-196903,ON
24-12-27_16-18-57-420717,OFF
24-12-27_16-18-57-652229,ON
24-12-27_16-18-57-868488,OFF
24-12-27_16-18-58-086741,ON
24-12-27_16-18-58-306611,OFF
24-12-27_16-18-58-524774,ON
24-12-27_16-18-58-743622,OFF
24-12-27_16-18-58-961233,ON
24-12-27_16-18-59-179165,OFF
24-12-27_16-18-59-399319,ON
24-12-27_16-18-59-620137,OFF
24-12-27_16-18-59-839600,ON
24-12-27_16-19-00-066750,OFF
24-12-27_16-19-00-285223,ON
24-12-27_16-19-00-501723,OFF
24-12-27_16-19-00-720122,ON
24-12-27_16-19-00-938908,OFF
24-12-27_16-19-01-156633,ON
24-12-27_16-19-01-378458,OFF
24-12-27_16-19-01-598015,ON
24-12-27_16-19-01-817845,OFF
24-12-27_16-19-02-036669,ON
24-12-27_16-19-02-256050,OFF
24-12-27_16-19-02-477122,ON
24-12-27_16-19-02-695073,OFF
24-12-27_16-19-02-914787,ON
24-12-27_16-19-03-133536,OFF
24-12-27_16-19-03-354697,ON
24-12-27_16-19-03-572329,OFF
24-12-27_16-19-03-790552,ON
24-12-27_16-19-04-008085,OFF
24-12-27_16-19-04-227477,ON
24-12-27_16-19-04-448890,OFF
